X,Y,objectid,class,gisassetid,material,owns,maintains,lasteditor,horzontalprecision,surveytype,surveydate,mode
147.139599137740618,-41.437213546825198,892,Seat without back,,CONCRETE,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139609456108815,-41.437225451292448,893,Seat without back,,CONCRETE,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.140005319056854,-41.436708641258804,894,Seat with back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139470327291463,-41.435161135252478,895,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.132940430745123,-41.406175058362756,896,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.132201296822785,-41.404560452768933,897,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.132217970101635,-41.404587245636684,898,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.131857985962625,-41.403888668835187,899,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.13220252811297,-41.403735362233682,900,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.133090329326848,-41.406039009953645,901,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.132022986241424,-41.404195592022482,902,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.137819496915796,-41.428000973516468,903,Seat without back,,TIMBER,,,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139732792551285,-41.431036075824792,904,Seat without back,,CONCRETE,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.136563675555749,-41.435512267787743,905,Seat without back,,TIMBER,LCC Roads,LCC Roads,CORNWELLL,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.132901599471296,-41.406107301224225,906,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.131921601002375,-41.404407032944903,907,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.142201019625901,-41.433585005130666,908,Seat with back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.141986020421712,-41.43265421276385,909,Seat with back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.129856875897133,-41.440082762298928,910,Seat without back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.129893899666172,-41.440066276327748,911,Seat without back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.130991046805775,-41.438039506142964,912,Picnic Table,,PLASRECY,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.130778418735986,-41.436718472910847,913,Seat without back,455345,PLASRECY,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.129502916992038,-41.435049732728842,914,Seat without back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.129535198707032,-41.435038971092965,915,Seat without back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.129568425321878,-41.435026064586125,916,Seat without back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.138482811489666,-41.429177920412762,917,Seat without back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139823534513567,-41.426894867531402,918,Seat without back,,TIMBER,LCC YPIPA,LCC YPIPA,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.117640829580182,-41.444757819929627,919,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117683529214816,-41.444724411434045,920,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117684964440031,-41.444642187350205,921,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117675331591187,-41.444569508166211,922,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117175301402739,-41.444801193427523,923,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117226806965817,-41.445261108195773,924,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117320621365479,-41.445029837700758,925,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117284357384648,-41.44511924657003,926,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117240143201087,-41.445191385269368,927,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.117155409365409,-41.444747590907902,928,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.116737191439256,-41.444179263804145,929,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.124281338329638,-41.405517622497065,930,Bench Seat without back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,0.100000,Surveyed & GPS RTK,2017-05-01T00:00:00.000Z,active
147.150539631132773,-41.429528832832638,931,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-05-01T00:00:00.000Z,
147.150534451646053,-41.429552859171956,932,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-05-01T00:00:00.000Z,
147.144286053272168,-41.413591239076318,933,Seat with back,,PLASRECY,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-05-01T00:00:00.000Z,
147.144268500537265,-41.413618570286836,934,Seat with back,,PLASRECY,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-05-01T00:00:00.000Z,
147.003747536261983,-41.316555291687003,935,Picnic Table,,TIMBSTL,,,HARVEYS,0.100000,Surveyed & GPS RTK,2017-06-15T00:00:00.000Z,active
147.160106197265264,-41.466398456588372,936,Stool,,concrete,LCC Parks,LCC Parks,CORNWELLL,0.100000,Surveyed & GPS RTK,2017-11-02T00:00:00.000Z,active
147.139273389248245,-41.377817728011664,937,Bench Seat without back,455348,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2018-01-01T00:00:00.000Z,
147.139265457008946,-41.377856468673976,938,Bench Seat without back,455359,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2018-01-01T00:00:00.000Z,
147.1311980165124,-41.43793385766336,939,Bench Seat without back,455344,TIMBSTL,LCC Parks,LCC Parks,ORDERSR,,Photogrammetry,2018-01-30T00:00:00.000Z,
147.131198064508226,-41.437957690682005,940,Bench Seat without back,455360,TIMBSTL,LCC Parks,LCC Parks,ORDERSR,,Photogrammetry,2018-01-30T00:00:00.000Z,
147.158031250513687,-41.451057317978218,941,Bench Seat with back,455347,STEEL,LCC Parks,LCC Parks,ORDERSR,,Photogrammetry,2018-01-30T00:00:00.000Z,
147.136623402063947,-41.435619486732193,942,Bench Seat without back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136503084843895,-41.435682610354398,943,Bench Seat without back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,
147.136757955825232,-41.436117588602201,944,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136496257248439,-41.436023049869249,945,Bench Seat without back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,
147.136539361189563,-41.435829507502916,946,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
