X,Y,objectid,local,state,thr_id,original_a,commentary
147.146773763310847,-41.442850871628096,59,LCC,THC,3751, , 
147.146393993757869,-41.442399291361966,60,LCC, ,0,8 Balfour Street LAUNCESTON TAS 7250, 
147.146547171946168,-41.442752077544903,61,LCC,THC,3753, , 
147.146172389042903,-41.442398595821061,62,LCC,THC,3754, , 
147.146410347305476,-41.442806296997404,63,LCC,THC,3755, , 
147.145976828772206,-41.442470904455774,64,LCC,THC,3756, , 
147.146147789804928,-41.442896706242372,65,LCC,THC,3757, , 
147.145478734640108,-41.443160705016886,66,LCC, ,0,19 Balfour Street LAUNCESTON TAS 7250, 
147.145001699608315,-41.442736020748256,67,LCC,THC,3759, , 
147.145097525621054,-41.44270887730795,68,LCC,THC,3759, , 
147.14527538764824,-41.443183561895758,69,LCC, ,0,21 Balfour Street LAUNCESTON TAS 7250, 
147.144837200615939,-41.442727220423521,70,LCC,THC,3761, , 
147.144979499878843,-41.443303523757415,71,LCC,THC,3762, , 
147.144779651032223,-41.442886212899332,72,LCC, ,0,24 Balfour Street LAUNCESTON TAS 7250, 
147.144897121482245,-41.443456755714877,73,LCC,THC,3764, , 
147.144619195316693,-41.44291940753412,74,LCC, ,0,26 Balfour Street LAUNCESTON TAS 7250, 
147.14467372331066,-41.443393984088566,75,LCC,THC,3766, , 
147.144442905178636,-41.443040428229793,76,LCC, ,0,28 Balfour Street LAUNCESTON TAS 7250, 
147.144515467768315,-41.4434482282308,77,LCC,THC,3767, , 
147.144175701644258,-41.443101076090933,78,LCC,THC,3768, , 
147.144069599630512,-41.443137239170987,79,LCC,THC,3769, , 
147.144261204913562,-41.443502592584437,80,LCC,THC,3770, , 
147.143965555751436,-41.443166023302993,81,LCC, ,0,34 Balfour Street LAUNCESTON TAS 7250, 
147.143983558430733,-41.443538970565065,82,LCC,THC,3771, , 
147.143895637560263,-41.443243689115093,83,LCC,THC,3772, , 
147.14339193079212,-41.4437468828975,84,LCC,THC,3773, , 
147.143182775825863,-41.443846226328951,85,LCC,THC,3775, , 
147.143099077649993,-41.443891368162994,86,LCC,THC,3776, , 
147.142982547752155,-41.44348617378607,87,LCC,THC,3777, , 
147.142994949500434,-41.443900505175783,88,LCC,THC,3778, , 
147.143031181123035,-41.443936490291179,89,LCC,THC,3778, , 
147.142895937346907,-41.443513304015497,90,LCC,THC,3779, , 
147.142968133315662,-41.44395458373711,91,LCC,THC,6357, , 
147.142795440554096,-41.443540451416517,92,LCC,THC,3780, , 
147.1429098936527,-41.443981678714543,93,LCC,THC,6358, , 
147.142680499592871,-41.443531586486706,94,LCC,THC,3781, , 
147.142597832279648,-41.443424216425115,95,LCC, ,0,48 Balfour Street LAUNCESTON TAS 7250, 
147.142688164061099,-41.443948280154231,96,LCC, ,0,49 Balfour Street LAUNCESTON TAS 7250, 
147.142628850293249,-41.4441081330298,97,LCC,THC,3784, , 
